codice_regione,denominazione_regione,Popolazione
1,Piemonte,4311217
2,Valle d'Aosta,125034
3,Lombardia,10027602
4,Trentino-Alto Adige/SÃ¼dtirol,1078069
5,Veneto,4879133
6,Friuli Venezia Giulia,1206216
7,Liguria,1524826
8,Emilia-Romagna,4464119
9,Toscana,3692555
10,Umbria,870165
11,Marche,1512672
12,Lazio,5755700
13,Abruzzo,1293941
14,Molise,300516
15,Campania,5712143
16,Puglia,3953305
17,Basilicata,553254
18,Calabria,1894110
19,Sicilia,4875290
20,Sardegna,1611621
21,P.A. Trento,545425
22,P.A. Bolzano,532644
,Italia,59641488
